钢卷号,流向,切断时间,必做标记,计划类型,额定轧制厚度,额定轧制宽度,额定出炉温度,额定终轧温度,额定卷取温度,计划号
1
500000005786,,,205,1,220,1400,1170,880,610,
500000005787,,,205,1,220,1400,1170,880,610,
500000005785,,,205,1,220,1400,1170,880,610,
500000005784,,,205,1,220,1400,1170,880,610,
500000005783,,,205,1,220,1400,1170,880,610,
500000005782,,,205,1,220,1400,1170,880,610,
500000005781,,,205,1,220,1400,1170,880,610,
500000005788,,,205,1,220,1400,1170,880,610,
500000005789,,,205,1,220,1400,1170,880,610,
500000005790,,,205,1,220,1400,1170,880,610,
500000005791,,,205,1,220,1400,1170,880,610,
500000005792,,,205,1,220,1400,1170,880,610,
500000005793,,,205,1,220,1400,1170,880,610,
500000005794,,,205,1,220,1400,1170,880,610,
500000005795,,,205,1,220,1400,1170,880,610,
500000005796,,,205,1,220,1400,1170,880,610,
500000005797,,,205,1,220,1400,1170,880,610,
500000005798,,,205,1,220,1400,1170,880,610,
500000005799,,,205,1,220,1400,1170,880,610,
500000005800,,,205,1,220,1400,1170,880,610,
500000005190,,,205,1,220,1400,1200,860,630,
500000005191,,,205,1,220,1400,1200,860,630,
500000005192,,,205,1,220,1400,1200,860,630,
500000005193,,,205,1,220,1400,1200,860,630,
500000005194,,,205,1,220,1400,1200,860,630,
500000005195,,,205,1,220,1400,1200,860,630,
500000005780,,,205,1,220,1400,1170,880,610,
500000005779,,,205,1,220,1400,1170,880,610,
500000005778,,,205,1,220,1400,1170,880,610,
500000005777,,,205,1,220,1400,1170,880,610,
500000005771,,,205,1,220,1400,1170,880,610,
500000005772,,,205,1,220,1400,1170,880,610,
500000005773,,,205,1,220,1400,1170,880,610,
500000005774,,,205,1,220,1400,1170,880,610,
500000005775,,,205,1,220,1400,1170,880,610,
500000005776,,,205,1,220,1400,1170,880,610,
2
500000005811,,,205,2,230,850,1170,880,610,
500000005812,,,205,2,230,850,1170,880,610,
500000005813,,,205,2,230,850,1170,880,610,
500000006999,,,205,3,230,930,1180,870,620,
500000007000,,,205,3,230,930,1180,870,620,
500000007001,,,205,3,230,930,1180,870,620,
A550271001,,,205,4,230,1200,1200,870,580,
A550191009,,,205,4,230,1200,1200,870,580,
AB50001008,,,205,4,230,1200,1200,870,580,
A550271007,,,205,4,230,1200,1200,870,580,
AB50001009,,,205,4,230,1200,1200,870,580,
A550271005,,,205,4,230,1200,1200,870,580,
A550271004,,,205,4,230,1200,1200,870,580,
A550271003,,,205,4,230,1200,1200,870,580,
A550271002,,,205,4,230,1200,1200,870,580,
A550271006,,,205,4,230,1200,1200,870,580,
500000007047,,,205,3,230,930,1180,870,620,
500000007048,,,205,3,230,930,1180,870,620,
500000007049,,,205,3,230,930,1180,870,620,
500000007050,,,205,3,230,930,1180,870,620,
500000007051,,,205,3,230,930,1180,870,620,
500000007062,,,205,3,230,930,1180,870,620,
500000007063,,,205,3,230,930,1180,870,620,
500000007064,,,205,3,230,930,1180,870,620,
500000007065,,,205,3,230,930,1180,870,620,
500000007066,,,205,3,230,930,1180,870,620,
500000007067,,,205,3,230,930,1180,870,620,
500000007068,,,205,3,230,930,1180,870,620,
500000007798,,,205,3,230,930,1200,870,580,
A490021002,,,205,3,230,930,1200,870,580,
A490021003,,,205,3,230,930,1200,870,580,
A550161001,,,205,3,230,930,1200,870,580,
A550161002,,,205,3,230,930,1200,870,580,
A550161007,,,205,3,230,930,1200,870,580,
A550161008,,,205,3,230,930,1200,870,580,
A550161009,,,205,3,230,930,1200,870,580,
A550171003,,,205,3,230,930,1200,870,580,
A550171004,,,205,3,230,930,1200,870,580,
A550171005,,,205,3,230,930,1200,870,580,
A550171006,,,205,3,230,930,1200,870,580,
A550171007,,,205,3,230,930,1200,870,580,
A550171009,,,205,3,230,930,1200,870,580,
A550181001,,,205,3,230,930,1200,870,580,
A550181002,,,205,3,230,930,1200,870,580,
A550181003,,,205,3,230,930,1200,870,580,
A550181004,,,205,3,230,930,1200,870,580,
A550181005,,,205,3,230,930,1200,870,580,
A550181006,,,205,3,230,930,1200,870,580,
A550181007,,,205,3,230,930,1200,870,580,
A550181008,,,205,3,230,930,1200,870,580,
A550181009,,,205,3,230,930,1200,870,580,
A550191001,,,205,3,230,930,1200,870,580,
A550191002,,,205,3,230,930,1200,870,580,
A550191003,,,205,3,230,930,1200,870,580,
A550191004,,,205,3,230,930,1200,870,580,
A550191005,,,205,3,230,930,1200,870,580,
A550191006,,,205,3,230,930,1200,870,580,
A550191007,,,205,3,230,930,1200,870,580,
A550191008,,,205,3,230,930,1200,870,580,
500000006968,,,205,2,230,850,1180,870,620,
500000006969,,,205,2,230,850,1180,870,620,
500000006970,,,205,2,230,850,1180,870,620,
500000006971,,,205,2,230,850,1180,870,620,
500000006972,,,205,2,230,850,1180,870,620,
500000005814,,,205,2,230,850,1170,880,610,
500000005815,,,205,2,230,850,1170,880,610,
500000005816,,,205,2,230,850,1170,880,610,
500000005817,,,205,2,230,850,1170,880,610,
500000005818,,,205,2,230,850,1170,880,610,
500000005819,,,205,2,230,850,1170,880,610,
500000005820,,,205,2,230,850,1170,880,610,
500000005821,,,205,2,230,850,1170,880,610,
500000005822,,,205,2,230,850,1170,880,610,
500000005823,,,205,2,230,850,1170,880,610,
500000005824,,,205,2,230,850,1170,880,610,
500000005825,,,205,2,230,850,1170,880,610,
500000005826,,,205,2,230,850,1170,880,610,
500000005827,,,205,2,230,850,1170,880,610,
500000005828,,,205,2,230,850,1170,880,610,
500000005981,,,205,2,230,850,1170,880,610,
500000005982,,,205,2,230,850,1170,880,610,
500000005983,,,205,2,230,850,1170,880,610,
500000005984,,,205,2,230,850,1170,880,610,
500000005985,,,205,2,230,850,1170,880,610,
500000005986,,,205,2,230,850,1170,880,610,
500000005801,,,205,2,230,850,1170,880,610,
500000005802,,,205,2,230,850,1170,880,610,
500000005803,,,205,2,230,850,1170,880,610,
500000005804,,,205,2,230,850,1170,880,610,
500000005805,,,205,2,230,850,1170,880,610,
500000005806,,,205,2,230,850,1170,880,610,
500000005807,,,205,2,230,850,1170,880,610,
500000005808,,,205,2,230,850,1170,880,610,
500000005809,,,205,2,230,850,1170,880,610,
500000005810,,,205,2,230,850,1170,880,610,
3
500000007002,,,205,3,230,930,1180,870,620,
500000007003,,,205,3,230,930,1180,870,620,
500000007004,,,205,3,230,930,1180,870,620,
500000007779,,,205,3,230,930,1200,870,580,
500000007780,,,205,3,230,930,1200,870,580,
500000007781,,,205,3,230,930,1200,870,580,
500000007786,,,205,3,230,930,1200,870,580,
500000007069,,,205,3,230,930,1180,870,620,
500000007070,,,205,3,230,930,1180,870,620,
500000007071,,,205,3,230,930,1180,870,620,
500000007072,,,205,3,230,930,1180,870,620,
500000007073,,,205,3,230,930,1180,870,620,
500000007074,,,205,3,230,930,1180,870,620,
500000007075,,,205,3,230,930,1180,870,620,
500000007076,,,205,3,230,930,1180,870,620,
500000007077,,,205,3,230,930,1180,870,620,
500000007078,,,205,3,230,930,1180,870,620,
500000007079,,,205,3,230,930,1180,870,620,
500000007080,,,205,3,230,930,1180,870,620,
500000007081,,,205,3,230,930,1180,870,620,
500000007082,,,205,3,230,930,1180,870,620,
500000007083,,,205,3,230,930,1180,870,620,
500000007084,,,205,3,230,930,1180,870,620,
500000007085,,,205,3,230,930,1180,870,620,
500000007086,,,205,3,230,930,1180,870,620,
500000007087,,,205,3,230,930,1180,870,620,
500000007088,,,205,3,230,930,1180,870,620,
500000007089,,,205,3,230,930,1180,870,620,
500000007090,,,205,3,230,930,1180,870,620,
500000007091,,,205,3,230,930,1180,870,620,
500000007092,,,205,3,230,930,1180,870,620,
500000007093,,,205,3,230,930,1180,870,620,
500000007094,,,205,3,230,930,1180,870,620,
500000007095,,,205,3,230,930,1180,870,620,
500000007096,,,205,3,230,930,1180,870,620,
500000007097,,,205,3,230,930,1180,870,620,
500000007098,,,205,3,230,930,1180,870,620,
500000007099,,,205,3,230,930,1180,870,620,
500000007100,,,205,3,230,930,1180,870,620,
500000007101,,,205,3,230,930,1180,870,620,
500000007102,,,205,3,230,930,1180,870,620,
500000007103,,,205,3,230,930,1180,870,620,
500000007104,,,205,3,230,930,1180,870,620,
500000007105,,,205,3,230,930,1180,870,620,
500000007106,,,205,3,230,930,1180,870,620,
500000007107,,,205,3,230,930,1180,870,620,
500000005873,,,205,2,230,850,1200,870,580,
500000005874,,,205,2,230,850,1200,870,580,
500000005875,,,205,2,230,850,1200,870,580,
500000005876,,,205,2,230,850,1200,870,580,
500000005877,,,205,2,230,850,1200,870,580,
500000005878,,,205,2,230,850,1200,870,580,
500000006973,,,205,2,230,850,1180,870,620,
500000006974,,,205,2,230,850,1180,870,620,
